标题,摘要,标签,情感
基于深度学习的局部放电分类识别研究综述,局部放电(Partial discharge，PD)是表征电气设备绝缘劣化状态的关键诊断指标，可有效诊断电力设备不同类型与不同程度梯度的绝缘缺陷。针对电力设备绝缘诊断评估老大难的问题，目前主要采用的是局放信号模式识别和绝缘状态评估。传统的分类和识别方法需要专家从原始数据中手动提取适当的特征，再使用这些特征来诊断PD类型和严重程度。同时，相关人工智能算法也逐步被开发，将手动提取的有效特征用于机器学习(Machine learning，ML)算法的输入。深度学习(Deep learning，DL)作为一种典型的人工智能算法，比传统ML方法具有更好的准确性，提供了更有效的自动识别技术，被广泛应用于PD的自动特征提取和分类。对DL在局部放电特征分类、状态评估的研究现状进行了分析，并结合智能电网、智慧轨道交通等领域的发展需求，对其未来发展趋势进行了展望。,机器学习,积极
基于深度学习的辽东半岛五龙金矿集区三维矿产资源定量预测,基于数据驱动的三维矿产资源定量预测是实现深部找矿突破的关键技术。相较于浅层机器学习方法，深度学习具备自动提取数据深层次特征及非线性建模的优势。五龙金矿集区是辽东半岛最重要的金矿集区之一，在该区开展深部矿产资源勘查，对于推动辽东地区千吨级黄金战略基地建设具有重要意义。三维矿产资源定量预测所用数据与计算机视觉领域常用的二维像素数据之间存在显著差异，为此，本研究从训练样本构建、深度学习模型设计与训练等角度出发，探讨建立适用于三维矿产资源定量预测的三维卷积神经网络（Convolutional Neural Network，CNN）和循环神经网络（Recurrent Neural Network，RNN）预测模型的过程。对比实验证明，上述两类深度学习模型在研究区三维矿产资源定量预测中优于随机森林模型。最终基于上述研究，本文在五龙金矿集区圈定深部找矿靶区，进一步证实了五龙矿床沿鸡心沟断裂的深部具有较大找矿潜力。,机器学习,积极
基于深度学习的网络流量异常检测算法优化研究,随着大数据、人工智能等网络技术在人们生产生活中的常态化应用，网络流量安全成为当前亟待解决的问题。本文提出了一种基于深度学习的网络流量异常检测算法优化方法。采用卷积神经网络（ convolutional neural network，CNN） ＋长短期记忆（ long short⁃term memory，LSTM）网络组合模型进行局部特征提取和时间序列建模，并通过数据增强和生成对抗网络（ generative adversarial nets，GANs）扩展训练样本，提升模型的泛化能力。实验选用了入侵检测数据集（ NSL⁃KDD）和入侵检测评估数据集（ CICIDS 2017）进行评估，结果表明：该模型在检测精度、召回率和漏报率等指标上表现出色，特别是在复杂流量模式下具备较高的适应性和鲁棒性，为提高网络安全防护提供参考。,机器学习,积极
基于深度学习预测全冠修复体脱落的风险,"目的：临床收集全冠脱落与未脱落病例石膏模型数据集，使用深度学习模型来预测全冠脱落的风险。
方法：临床上收集全冠脱落与未脱落的病例石膏模型，通过口腔扫描仪获得的三维图像生成的二维图像作为数据集，数据集包括20个病例，10个脱落病例以及10个未脱落病例，共16920张图像被随机分配为16200张训练集、360 张测试集及360张验证集，比较CNN、ResNet50和EfficientNetB0 3种模型性能。结果：3种模型的准确率、精确率、 F测量值以及AUC的值分别为0. 995、0. 957、0. 885；0. 993、0. 962、0. 901；0. 991、0. 952、0. 879；0. 999、0. 997、0. 992。
结论：CNN、ResNet50及EfficientNetB0中CNN预测全冠修复体脱落的性能最佳。",机器学习,积极
基于无人机多光谱和机器学习的芦苇地上生物量反演研究,植被地上生物量（ AGB）是反映湿地生态系统功能状态与健康水平的重要生态参数，可为生态系统稳定性分析和碳汇能力评估提供关键支撑。以滨海典型芦苇湿地为研究对象，基于无人机获取的高分辨率多光谱影像和113个实测芦苇AGB样本，系统评估不同特征变量组合的建模效果，并利用随机森林（ RF）算法的重要性分析对变量进行筛选。随后分别构建了RF、 支持向量机（ SVM）和极端梯度提升（ XGBoost）三种机器学习算法模型，对筛选后的特征变量进行建模与精度对比，旨在探索基于低空遥感技术开展湿地植被生物量反演的可行路径，建立适用于湿地生态监测的高效估算框架。研究结果表明，联合使用多光谱波段反射率与植被指数的变量组合显著优于单一变量类型，能够有效提升AGB估算精度。在三种建模算法中，XGBoost模型性能最优，R2为0．731，RMSE为0．184kg ／ m2 ，RPD达到2．431，表现出较强的稳定性与鲁棒性。空间分布分析结果显示，研究区芦苇AGB具有显著的空间异质性，高值区主要分布于水体周边的浅水带及地势低洼区域，而地势较高区域的AGB值相对较低。定量统计显示，研究区芦苇总AGB为3038．78吨，芦苇AGB值范围为0．486—1．705kg ／ m2 ，平均为0．88kg ／ m2。变量贡献分析显示，红边波段及其衍生植被指数，特别是修正型叶绿素吸收反射植被指数（ MCARI） ，在芦苇AGB反演模型中的贡献度较高，表明其在捕捉湿地植被的叶绿素含量和冠层结构变化方面具有较强的敏感性，对AGB的估算精度有显著提升作用。本研究不仅验证了基于无人机多光谱影像结合机器学习算法进行芦苇AGB反演的可行性和有效性，也为后续开展湿地生态系统功能评价、碳储量估算及关键栖息地监测提供了科学依据。,机器学习,积极
基于无人机遥感和机器学习的松材线虫病监测研究,松材线虫病是毁灭性的松树病害，严重威胁我国森林生态安全。及时可靠的获取松材线虫病发生范围和病害程度对于森林管理和病害防控极其重要。然而松材线虫病传播速度快、防治难度大，传统人工调查方法难以满足需求。无人机遥感能够快速、准确的获取森林病虫害空间分布和病害程度，为森林病虫害防治和管理提供可靠的信息支撑。本研究利用无人机获取高分辨率红绿蓝（red-green-blue，R G B）可见光影像，首先使用面向对象的多尺度分割算法进行单木树冠提取， 并计算植被指数（VIs）、纹理特征（GLCM），再利用特征选择算法优化特征集，使用随机森林分类 （Random Forest，RF）和支持向量机分类（Support Vector Machine，SVM）算法构建松材线虫病分类模型，通过消融实验选取最优分类模型，最终实现松材线虫病病害程度和空间分布状况制图。 结果表明：在面向对象单木树冠尺度上不同病害程度的松树冠层植被指数和纹理特征有所差异， 使用植被指数（VIs RF：OA=76.52%，Marco-F1=0.77；SVM：OA=79.68%，Marco-F1=0.79）分类结果精度优于纹理特征（GLCM RF：OA=46.74%，Marco-F1=0.47；SVM：OA=62.09%， Marco-F1=0.54）；相比使用单一特征集，植被指数和纹理特征的组合可显著提高分类精度，说明多特征组合可以有效提高病害分类效果（VIs&GLCM RF：OA=79.47%，Marco-F1=0.80；SVM： OA=85.45%，Marco-F1=0.85）；无论是单一特征集建模，还是组合特征集建模，SVM模型分类效果都优于RF模型。本研究为全面掌握松材线虫病病害程度及空间分布情况提供及时、可靠的信息支持，有助于推动重大林业有害生物防治体系建设，维护生态安全。,机器学习,积极
基于影像组学深度学习肾上腺腺瘤亚分类的价值,目的：针对肾上腺腺瘤患者探究增强CT影像组学深度学习算法实现肾上腺腺瘤全自动分割与亚分类的可行性。方法：回顾性分析2家医院772例病理证实为肾上腺腺瘤的患者，分为开发队列（502例）、 内部验证队列（157例）和外部验证队列（113例）。首先，建立基于深度学习算法的肾上腺腺瘤分割模型用于定位肾上腺及肾上腺腺瘤。其次，基于检测到的肾上腺腺瘤区域，在开发队列中训练深度学习影像组学融合模型区分肾上腺无功能腺瘤、醛固酮腺瘤及皮质醇腺瘤，并在内部和外部验证队列中比较融合模型与影像组学机器学习模型和深度学习模型的性能。结果：肾上腺腺瘤分割模型的Dice中位数为0.898。深度学习影像组学融合模型在内部和外部验证队列的总体诊断准确率分别为80.3%（95% CI: 73.2% ~ 86.2%）和77.9% (95% CI: 69.1% ~ 85.1%)，平均F1评分为80.0%和76.9%，均优于影像组学机器学习模型和深度学习模型。 结论：基于两个验证队列的比较实验表明，将深度学习与影像组学相结合可以提高肾上腺腺瘤分类模型的诊断效能。,机器学习,积极
交通事故智能定责深度学习集成方法研究,为研究道路交通事故当事人责任智能认定方法，将双方当事人责任结果划分为全责-无责、 主责-次责、同等-同等、次责-主责、无责-全责。在基于特征分析和特征工程筛选训练样本特征的基础上，深度离散并独热编码事故特征，结合线性模型和深度神经网络，训练交通事故智能定责深度学习集成模型；对模型的网络结构和超参数进行优化，建立复杂网络结构下的交通事故责任智能认定模型；基于历史交通事故交叉验证模型的可行性。结果表明：深度学习集成方法对交通事故责任认定的准确率有明显提升，对于全责-无责和无责-全责类事故，模型准确率达到0.91，其他认定结果的准确率达到0.78；深度学习集成方法对比传统机器学习准确率提高 30%以上，对比单一全连接神经网络准确率提高8%以上。深度学习集成方法对交通事故智能定责的边界确定具有明显的改善作用。,机器学习,积极
结合小波变换的机器学习模型在波浪预测中的挑战与应对,准确的波浪预测对海洋工程、船舶航行、海岸防护及离岸风电场等领域至关重要。小波变换能够将波浪数据分解为不同频率成分，捕捉波浪的复杂动态变化特征，与机器学习模型结合可以提高波高预测的精度。本研究以最大重叠离散小波变换（Maximal Overlap Discrete Wavelet Transform，MODWT）为例，对结合小波变换过程中可能存在的问题进行了剖析：模型在小波变换的卷积操作中，由于边界处数据缺失或引入非原始数据，会产生边界问题；逆卷积过程则可能引入未来信息导致模型无法在现实中应用。本文指出在输入特征序列前依据滤波器长度和分解级数增加历史数据点，并通过使用分解系数直接预测或采用累加重构的小波变换方法，可以避免边界问题和引入未来信息。尽管结合小波变换的机器学习模型提升波浪预测精度作用有限，但对较长的预测提前期提升效果相对明显。同时，通过控制滤波器长度和小波分解层次避免信息丢失，有利于提高预测精度。本文加深了小波变换在波浪预测机器学习模型中应用的理解，推动小波变换与深度学习在海洋数据处理领域的融合发展。,机器学习,积极
近红外光谱结合深度学习的苹果糖心区域面积占比预测,苹果中糖心区域面积的大小对其口感、售价均有一定的影响，但是经长时间存储的苹果内部糖心会逐渐消失，甚至影响苹果的品质以及售价。为探究近红外光谱数据与苹果糖心区域面积之间的相关性，建立糖心区域面积占比预测模型，以成熟时期的糖心苹果为研究对象，采集其光谱数据，通过对苹果进行切片处理，利用深度学习算法提取各个截面中的糖心区域面积，测定各个截面所提取的糖心区域面积占整个截面面积的比值作为该截面的糖心区域面积占比，并将最大糖心区域面积占比作为其整体糖心区域面积占比测量值。将原始光谱数据进行多元散射校正( MSC)、标准正态变换( SNV)、标准化等多种预处理，并建立偏最小二乘回归( PLSR)、支持向量机( SVM)和随机森林( RF)机器学习预测模型以及卷积神经网络( CNN)、双向长短时记忆网络( BiLSTM)深度学习预测模型，其中使用经标准化预处理之后的光谱数据建立的CNN模型预测效果最优。为进一步提高建模效果，采用无信息变量消除法 ( UVE)、连续投影算法( SPA)、竞争性自适应重加权算法( CARS)等特征提取方法，对预处理之后的数据进行优化，比较不同特征提取方法之间的建模效果。结果表明，CNN卷积神经网络构建的苹果糖心区域面积占比预测模型要优于传统的机器学习建模。其中经标准化预处理，UVE+CARS组合特征提取算法构建的CNN模型预测效果最优，验证集的决定系数( R2)、均方根误差( RMSE)分别为0. 921和1. 882。研究结果表明，近红外光谱结合CNN卷积神经网络建立的苹果糖心预测模型可以较好地对苹果糖心区域面积占比进行预测，为糖心苹果无损检测提供了理论支撑。,机器学习,积极
精准糖尿病治疗：多组学与机器学习在胰岛移植中的潜力,胰岛移植作为一种有效的糖尿病治疗方法，近年来日益受到关注。但胰岛移植面临供者短缺、胰岛分离和移植过程中损失以及需要终身免疫抑制等挑战。随着多组学技术的快速发展以及机器学习算法的广泛应用，研究人员开始探索如何利用这些创新技术提高胰岛移植的成功率并改善患者的生活质量。机器学习在数据整合、模式识别和预测准确性方面展现出独特优势，支持精准预测和个性化治疗策略。多组学与机器学习的结合有望通过优化供受者匹配和个性化免疫抑制方案，革新糖尿病管理并助力精准医学发展。因此，本文就多组学和机器学习在胰岛移植中的应用现状进行综述，探讨其对糖尿病治疗的潜在影响，并展望未来的研究方向，旨在为优化胰岛移植治疗糖尿病的提供参考。,机器学习,积极
利用双注意力机制深度学习模型与无人机多光谱空间数据进行红树林种群识别研究,红树林是热带、亚热带海岸带中最重要的生态系统之一，在维护海洋生物多样性、保持海洋生态平衡过程中扮演重要角色。因此，高效、智能、准确地对红树林及其种群分布进行识别提取并对其进行精细化监测十分必要。本研究提出了一套基于高分辨率无人机多光谱影像对红树林种群分布进行识别提取的深度学习方法。针对无人机多光谱数据特征，通过引入光谱注意力与空间注意力机制构建了适用于红树林种群识别的深度学习模型，有效解决了传统方法对红树林及其种群识别过程中效率较低的问题。本研究对红树林种群识别所用方法的预测结果与其他传统监督分类、无监督分类、机器学习以及部分深度学习方法，包括K均值聚类法、ISODATA聚类分析、随机森林模型( RF)、支持向量机模型( SVM)等进行了比较。结果显示，本研究所用方法对红树林种群识别得到的预测结果，在Kappa系数和总体分类精度( OA)指标方面的表现均为最佳，分别达到0. 81和0. 87。对比结果表明本研究提出的改进模型及其红树林种群分类识别方法的可行性，为高分辨率多光谱无人机对红树林及其种群进行精细化实时监测提供了一种高效的解决方案。,机器学习,积极
零工经济背景下职业属性与平台灵活用工匹配——基于机器学习的实证分析*,随着零工经济的飞速发展，平台灵活用工模式被广泛推广，为劳动力市场提供了众多就业岗位。本文选取以职业属性为核心的特征作为输入变量，采用决策树、随机森林、逻辑回归3种机器学习模型，寻找适配平台灵活用工模式的职业属性，评估零工经济下不同职业的平台灵活用工度，预测何种职业将与平台高效匹配，考察用工刚性宽度对平台灵活用工度的影响，探究劳动者对平台灵活用工的选择偏好。研究发现：（1）中国36.69%的职业对平台灵活用工具有高适配度， 未来可扩大这些职业用工形式，以创造更多就业机会。职业属性对职业实现平台灵活用工发挥着重要作用，其中从属性维度的影响最大，技能性、风险性和固定性等维度的影响依次降低。（2）职业用工刚性宽度决定平台灵活用工度。用工刚性宽度越小，职业越适配平台灵活用工。（3）平台灵活用工具有劳动选择偏好的特征，女性、低学历、中高龄劳动者的平台灵活用工度更高。本文为政府创造就业机会并制定适宜的就业政策、平台高效匹配劳动力资源、劳动者实现高质量充分就业提供有益借鉴。,机器学习,积极
深度学习编译器研究综述,随着人工智能的快速发展，越来越多的神经网络模型和算法相继涌现。与此同时，摩尔定律逐渐失效，新型加速器和计算机体系架构层出不穷，这推动了神经网络模型在这些新硬件平台上实现高效部署的迫切需求，在此背景下，深度学习编译器应运而生。与传统编译器不同，深度学习编译器将不同的网络模型作为输入，采用多级中间表示设计，逐层优化模型，并在编译器后端针对特定硬件架构进行优化，最终生成优化后的可执行程序。本文首先介绍了深度学习编译器的通用框架，包括各个核心组件和总体流程； 随后，系统分类地探讨了编译器的各类优化技术，并对近年来的研究进展进行总结，揭示了领域内的热点和发展趋势。最后，本文整理了现阶段的深度学习编译器研究，并根据现有研究现状，展望了未来的研究方向。,机器学习,积极
深度学习模型在药物组合协同效应预测的应用,"通过药物组合综合治疗疾病被广泛认为是一种有效方法，但现有药物组合的发现多依靠于剂量效应下针对药物靶点
谱及细胞系的筛选，存在对时间、金钱和人力资源上极大程度的浪费。深度学习模型被应用于预测药物组合的协同效应， 以提高治疗效果并减少不良反应，逐渐成为预测药物组合及其效应的一种机器学习手段。本文从多模型角度对基于深度学习的药物组合协同效应预测进行综述，重点讨论各种深度学习模型在药物预测方面具有的优势及局限性，并对相关评估指标进行综合评价。这些方法不仅展现人工智能技术的前沿性和广泛性，一定程度规避剂量效应带来的影响，同时还为中医药提供新的启示，表明利用现代科技手段解析传统药物组合的科学内涵，有望促进中医药的现代化发展。",机器学习,积极
深度学习驱动的软件漏洞预测:问题、进展与挑战,"软件漏洞是软件中易于被攻击利用的代码片段,确保软件不易受到攻击是软件开发中必须重视的安全性需求.软件漏洞预测是指对软件代码进行分析预测,从而及时找出潜在的漏洞.深度学习驱动的软件漏洞预测是近年来一个热门的研究领域,时间跨度大、研究数目众多、研究成果丰厚.为梳理相关研究成果、总结研究热点,对 2017–2024年间发表的151篇深度学习驱动的软件漏洞预测相关的文献进行综述,总结相关文献的研究问题、进展以及遇到的问题与挑战等内容,为后续研究提供参考.",机器学习,消极
深度学习在高能核物理中的前沿进展,随着高能核物理研究进入多维度、高复杂度数据分析阶段，深度学习技术正逐步成为理解极端条件下核物质行为的关键工具，并推动研究范式从经验驱动向数据驱动的根本转变。本文简要梳理了机器学习在该领域的演进，并着重介绍了深度学习方法在其中的前沿进展：早期（20世纪末至21世纪10年代）研究主要采用人工神经网络和支持向量机等传统算法，通过核质量预测、相变识别等任务验证了机器学习处理核物理问题的可行性，但受限于人工特征提取和计算能力的制约，尚未触及物理特征的自主挖掘；深度学习时代（21世纪10年代至今），研究者创新性地引入点云网络架构，通过直接处理末态粒子四动量数据，不仅突破了传统方法依赖人工构造统计观测量的局限，更开启了从数据表象到物理实在认知跃迁的进程。与此同时，无监督学习方法推动研究重心从假设验证转向数据驱动的物理规律自主发现，不仅实现了异常信号的敏锐捕捉，更催生出物理现象涌现性研究的新思路。展望未来，从发展包含物理先验的深度学习算法以提升模型的物理含义，到元学习与自监督框架深化稀有事件分析；从量子机器学习加速提取高维数据特征，到生成式模型重构物理数据生态，这些发展或将推动高能核物理从观测数据的被动解释转向物理规律的主动发现，从局部特征的碎片化分析转向系统行为的整体性认知，最终有可能构建具有自主知识发现能力的智能物理研究体系。,机器学习,积极
深度学习在航天遥测信息传输中的应用综述*,在航天遥测信息传输领域，深度学习技术的应用日益受到关注。综述了深度学习技术在解决航天遥测信息传输中面临的数据量大、通信实时性高、易受干扰和路径损失大等问题中的应用。 通过分析深度学习在优化遥测数据传输体量、提升传输效率、保障传输安全和减少传输误差等方面的进展，揭示了深度学习技术在提高航天遥测信息传输性能中的潜力。同时，还探讨了深度学习技术在航天遥测信息传输中面临的挑战，并提出了相应的研究思路，旨在为构建智能化航天遥测信息传输系统提供理论支持和实践指导。,机器学习,积极
现代成像技术与机器学习驱动的植物物候观测与预测研究进展,植物物候学研究植物生长周期和自然环境周期变化的关联性，传统人工监测效率有限，而现代成像传感器技术通过高通量、多尺度的表型数据采集，结合机器学习构建物候模型，可精准识别关键时间节点，实现生长周期预测，为植物监测和良种选育提供技术支持。该研究介绍了人工以及传感器两种物候观测方法，分析了近端感知系统、物候通量塔、无人机平台、卫星遥感平台在物候观测与数据采集的应用，基于机器学习，结合影响因子模型与数据驱动模型，总结了其在种内物候、种间物候、群落物候的应用。研究表明成像技术与机器学习算法的深度耦合正推动植物物候观测的自动化以及预测的精确化。针对数据时空覆盖不足、多模态特征融合困难、模型跨尺度泛化能力弱的挑战，未来植物物候研究将围绕多尺度长周期监测、成像传感器数据融合、空天地平台协同采集、提升预测模型的自学习和优化能力，依托AI大模型实现跨平台的模型校准验证等方面开展，加速植物物候监测的自动化、数字化与信息化进程。,机器学习,积极
有机分子晶体结构预测方法及应用进展:传统技术与机器学习的结合,"晶体结构预测(crystal structure prediction, CSP)技术能够仅依赖分子式预测材料的晶体结构,其在识别稳定结构和探索多晶型方面展现出独特的优势,已成为材料科学、药物学等领域不可或缺的工具.自20世纪末以来, CSP方法经历了从初期侧重技术实现的探索,到逐步实现高通量精确计算的阶段,并发展为一种能够全面探索高维势能面、精确排序分子晶体能量的综合性算法.本文综述了有机分子CSP的主要方法及策略,同时介绍了机器学习等新技术在CSP领域的引入和应用情况,并讨论了这些技术展现出的巨大潜力.本文旨在为读者提供全面、系统的CSP技术进展回顾,探讨当前的应用现状与挑战,并展望机器学习为该领域带来的新机遇,促进CSP技术在多领域的深入应用和跨学科融合.",机器学习,积极
职业院校学习者深度学习的关联影响因素研究,随着生成式人工智能技术的兴起，充分展现了机器深度学习带来的无限潜能。对于学习者深度学习的研究目前主要集中在深度学习方式、策略和评价三个方面，未从可评、可测、可量的角度揭示学习者深度学习是否发生以及关联影响因素。结合高等职业院校学生学习特点，采用混合分析法，以机器深度学习的视角，基于班杜拉三元交互理论在宏观层面构建分析框架，从个人、行为和环境三因素方面深入挖掘影响学生深度学习的关联因素；从微观层面深入职业教育教学一线，利用实际数据和机器学习算法进行关联影响因素的实证分析。结果显示课堂表现较好的学生深度学习特征明显；得分越高的学生，深度学习的可能性越大；良好的学习环境有助于学生深度学习；学生的课程总评成绩与是否深度学习并不完全呈正相关。本研究为促进深度学习在教育教学中的有效应用提供了参考。,机器学习,积极
智能反应优化：深度学习与优化算法驱动的乙酰水杨酸合成,在本科实验设计中，需要经过大量的试错实验来寻找最优的反应条件，这一过程需要消耗大量的时间和成本。 为了简化复杂的实验设计过程，同时激发学生对先进技术和跨学科领域的兴趣，培养多学科交叉的创新型人才，本研究创新性地提出了智能反应优化的模型框架以预测最优产率下的反应条件组合，并将这一模块加入到本科有机实验乙酰水杨酸的合成中。本研究收集了1054个符合这一反应机理的反应数据作为模型的训练数据，主要包括了产物、 反应物、催化剂、溶剂、主要反应试剂、反应温度和产率。首先预训练了一个基于化学多模态的产率预测模型，作为后续反应优化的目标函数；接着采用贝叶斯优化算法，以最小化产率的负值(即最大化产率)为目标，确定最优的反应条件组合；最后将模型预测的产率和实际产率进行了实验验证，在100次模型测试下的预测产率都完美地落在了实际产率范围内，效果优异的同时还给出了产率高达90.1%的反应试剂组合，为这一本科实验提供了多样化的实验方案。,机器学习,积极
